musicID,musicName,Goal1,Goal2,Goal3,Goal1_Reward,Goal2_Reward,Goal3_Reward,Goal1_Style,Goal2_Style,Goal3_Style,GoalSum
音乐歌曲,音乐名称,一级目标,二级目标,三级目标,一级目标奖励,二级目标奖励,三级目标奖励,一级目标奖励方式,二级目标奖励方式,三级目标奖励方式,目标总数
100620,玛丽有只小羊羔,550,900,1300,"100,1","200,2","300,3","1,2","1,2","1,2",3
100486,四季红,450,700,1100,"100,1","200,2","300,3","1,2","1,2","1,2",3
100323,伦敦铁桥垮下来,300,450,900,"100,1","200,2","300,3","1,2","1,2","1,2",3
100248,帕格尼尼随想曲 NO.9,750,1500,2200,"100,1","200,2","300,3","1,2","1,2","1,2",3
100214,罗密欧与朱丽叶,450,700,1100,"100,1","200,2","300,3","1,2","1,2","1,2",3
100053,致爱丽丝,600,1000,1500,"100,1","200,2","300,3","1,2","1,2","1,2",3
100428,钢琴块之歌-原创,400,700,1000,"100,1","200,2","300,3","1,2","1,2","1,2",3
100409,夜莺在歌唱-滑块,300,450,650,"100,1","200,2","300,3","1,2","1,2","1,2",3
100320,啊朋友再见-民谣,500,755,1100,"100,1","200,2","300,3","1,2","1,2","1,2",3
100073,欢乐颂-经典,400,650,950,"100,1","200,2","300,3","1,2","1,2","1,2",3
100192,洋娃娃的梦-双黑,700,1000,1500,"100,1","200,2","300,3","1,2","1,2","1,2",3
100591,falling-原创,600,900,1350,"100,1","200,2","300,3","1,2","1,2","1,2",3
100485,卡门-祝酒词-滑块,400,600,900,"100,1","200,2","300,3","1,2","1,2","1,2",3
100332,十个小印第安人-民谣,650,950,1400,"100,1","200,2","300,3","1,2","1,2","1,2",3
100230,暴风雨第三乐章-经典,800,1100,1650,"100,1","200,2","300,3","1,2","1,2","1,2",3
100141,西班牙斗牛曲-双黑,850,1200,1700,"100,1","200,2","300,3","1,2","1,2","1,2",3
100255,天鹅湖 主题曲-经典,360,720,1080,"100,1","200,2","300,3","1,2","1,2","1,2",3
100399,小矮人进行曲-双黑,600,1000,1300,"100,1","200,2","300,3","1,2","1,2","1,2",3
100621,小小汉斯-民谣,450,750,1000,"100,1","200,2","300,3","1,2","1,2","1,2",3
100557,练习曲 Op.299 No.11,250,400,550,"100,1","200,2","300,3","1,2","1,2","1,2",3
100437,橘色温度-原创,700,1200,1600,"100,1","200,2","300,3","1,2","1,2","1,2",3
100597,玫瑰波尔卡-双黑,360,700,1000,"100,1","200,2","300,3","1,2","1,2","1,2",3
100715,玛祖卡 Op.191,420,850,1200,"100,1","200,2","300,3","1,2","1,2","1,2",3
100390,法朗多尔舞曲-经典,350,700,1000,"100,1","200,2","300,3","1,2","1,2","1,2",3
100558,练习曲 Op.740 No.42-快速,200,450,650,"100,1","200,2","300,3","1,2","1,2","1,2",3
100373,一位老爷爷-民谣,500,1000,1500,"100,1","200,2","300,3","1,2","1,2","1,2",3
100714,卡农-改编版,460,900,1300,"100,1","200,2","300,3","1,2","1,2","1,2",3
