Language,MidBlock,MidOffShelves
,针对语言屏蔽歌曲,版权到期下架歌曲
AR,100300|100301|100302|100303|100304|100305|100508|100509|100562|100534|100535|100536|100537|100538|100554|100555|100556|100591|100592|100593|100639|100638|100635|100636|100637|100746|100747|100748|100749|100750|100763|100764|100765|100766|100767,100377|100380|100381|100403|100394|100386|100439|100441|100431|100083|100530|100440|100429|100437|100412|100438|100790|100704|100343|100342|100344|100593|100591|100592|100703|100690|100745|100711|100358|100350|100357|100531|100697|100375|100402|100392|100788|100789|100790|100799|100959|100614|100613
CN,100562,100377|100380|100381|100403|100394|100386|100439|100441|100431|100083|100530|100440|100429|100437|100412|100438|100790|100704|100343|100342|100344|100593|100591|100592|100703|100690|100745|100711|100358|100350|100357|100531|100697|100375|100402|100392|100788|100789|100790|100799|100959|100614|100613
TW,100562,100377|100380|100381|100403|100394|100386|100439|100441|100431|100083|100530|100440|100429|100437|100412|100438|100790|100704|100343|100342|100344|100593|100591|100592|100703|100690|100745|100711|100358|100350|100357|100531|100697|100375|100402|100392|100788|100789|100790|100799|100959|100614|100613
EN,100562,100377|100380|100381|100403|100394|100386|100439|100441|100431|100083|100530|100440|100429|100437|100412|100438|100790|100704|100343|100342|100344|100593|100591|100592|100703|100690|100745|100711|100358|100350|100357|100531|100697|100375|100402|100392|100788|100789|100790|100799|100959|100614|100613
ES,100562,100377|100380|100381|100403|100394|100386|100439|100441|100431|100083|100530|100440|100429|100437|100412|100438|100790|100704|100343|100342|100344|100593|100591|100592|100703|100690|100745|100711|100358|100350|100357|100531|100697|100375|100402|100392|100788|100789|100790|100799|100959|100614|100613
RU,100562,100377|100380|100381|100403|100394|100386|100439|100441|100431|100083|100530|100440|100429|100437|100412|100438|100790|100704|100343|100342|100344|100593|100591|100592|100703|100690|100745|100711|100358|100350|100357|100531|100697|100375|100402|100392|100788|100789|100790|100799|100959|100614|100613
PO,100562,100377|100380|100381|100403|100394|100386|100439|100441|100431|100083|100530|100440|100429|100437|100412|100438|100790|100704|100343|100342|100344|100593|100591|100592|100703|100690|100745|100711|100358|100350|100357|100531|100697|100375|100402|100392|100788|100789|100790|100799|100959|100614|100613
DE,100562,100377|100380|100381|100403|100394|100386|100439|100441|100431|100083|100530|100440|100429|100437|100412|100438|100790|100704|100343|100342|100344|100593|100591|100592|100703|100690|100745|100711|100358|100350|100357|100531|100697|100375|100402|100392|100788|100789|100790|100799|100959|100614|100613
KR,100562,100377|100380|100381|100403|100394|100386|100439|100441|100431|100083|100530|100440|100429|100437|100412|100438|100790|100704|100343|100342|100344|100593|100591|100592|100703|100690|100745|100711|100358|100350|100357|100531|100697|100375|100402|100392|100788|100789|100790|100799|100959|100614|100613
JP,100562,100377|100380|100381|100403|100394|100386|100439|100441|100431|100083|100530|100440|100429|100437|100412|100438|100790|100704|100343|100342|100344|100593|100591|100592|100703|100690|100745|100711|100358|100350|100357|100531|100697|100375|100402|100392|100788|100789|100790|100799|100959|100614|100613
TR,100562,100377|100380|100381|100403|100394|100386|100439|100441|100431|100083|100530|100440|100429|100437|100412|100438|100790|100704|100343|100342|100344|100593|100591|100592|100703|100690|100745|100711|100358|100350|100357|100531|100697|100375|100402|100392|100788|100789|100790|100799|100959|100614|100613
IT,100562,100377|100380|100381|100403|100394|100386|100439|100441|100431|100083|100530|100440|100429|100437|100412|100438|100790|100704|100343|100342|100344|100593|100591|100592|100703|100690|100745|100711|100358|100350|100357|100531|100697|100375|100402|100392|100788|100789|100790|100799|100959|100614|100613
FR,100562,100377|100380|100381|100403|100394|100386|100439|100441|100431|100083|100530|100440|100429|100437|100412|100438|100790|100704|100343|100342|100344|100593|100591|100592|100703|100690|100745|100711|100358|100350|100357|100531|100697|100375|100402|100392|100788|100789|100790|100799|100959|100614|100613
IN,100562,100377|100380|100381|100403|100394|100386|100439|100441|100431|100083|100530|100440|100429|100437|100412|100438|100790|100704|100343|100342|100344|100593|100591|100592|100703|100690|100745|100711|100358|100350|100357|100531|100697|100375|100402|100392|100788|100789|100790|100799|100959|100614|100613
