Id,Mid,BPM,,,MusicJson,Musician,Acceleration,AniID,BridgeAniID
ÒôÀÖID[int],,,»ù´¡Òô·û,ÄÑ¶ÈÏµÊý,ÒôÀÖJSONÎÄ¼þ[string],ÒôÀÖ¼Ò,¾º¼¼³¡¼ÓËÙ¶È,ÌØÐ§Ë÷Òý,¹ý¶ÉÌØÐ§Ë÷Òý
101,100001,190,1,170,Little Star,English Folk Music,,1024001,2048001
102,100001,194,1,190,Little Star,,,1024002,2048002
103,100001,198,1,210,Little Star,,,1024008,
201,100002,100,0.5,210,Jingle Bells,James Lord Pierpont,,,
202,100002,104,0.5,220,Jingle Bells,,,,
203,100002,108,0.5,230,Jingle Bells,,,,
301,100003,100,0.5,252,Canon,Johann Pachelbel,,,
302,100003,100,0.5,252,Canon,,,,
303,100003,100,0.5,256,Canon,,,,
401,100004,120,0.5,250,Two Tigers,French Folk Music,,1024001,2048001
402,100004,120,0.5,260,Two Tigers,,,1024002,2048002
403,100004,120,0.5,270,Two Tigers,,,1024010,
501,100005,125,0.5,250,Happy New Year,English Folk Music,,,
502,100005,130,0.5,260,Happy New Year,,,,
503,100005,135,0.5,270,Happy New Year,,,,
601,100006,110,0.5,220,Beyer No.8,Ferdinand Beyer,,,
602,100006,115,0.5,230,Beyer No.8,,,,
603,100006,120,0.5,240,Beyer No.8,,,,
701,100007,110,0.5,220,Bluestone Alley,Congfei Wei,,,
702,100007,118,0.5,236,Bluestone Alley,,,,
703,100007,125,0.5,250,Bluestone Alley,,,,
801,100008,120,0.5,240,Jasmine,Chinese Folk Music,,,
802,100008,65,0.25,260,Jasmine,,,,
803,100008,70,0.25,280,Jasmine,,,,
901,100009,115,0.5,230,Dolls and Bear Dancing,Polish Folk Music,,,
902,100009,60,0.25,240,Dolls and Bear Dancing,,,,
903,100009,125,0.5,250,Dolls and Bear Dancing,,,,
1001,100010,125,0.5,250,Happy Birthday to You,American Folk Music,,1024001,2048001
1002,100010,68,0.25,272,Happy Birthday to You,,,1024002,2048002
1003,100010,73,0.25,292,Happy Birthday to You,,,1024010,
1101,100011,115,0.5,230,Heidenroslein,Schubert,,,
1102,100011,128,0.5,256,Heidenroslein,,,,
1103,100011,140,0.5,280,Heidenroslein,,,,
1201,100012,120,0.5,240,The Painter,Polish Folk Music,,1024001,2048001
1202,100012,139,0.5,278,The Painter,,,1024002,2048002
1203,100012,156,0.5,312,The Painter,,,1024008,
1301,100013,120,0.5,240,Nocturne Op.9 No.2,Chopin,,1024001,2048001
1302,100013,139,0.5,278,Nocturne Op.9 No.2,,,1024002,2048002
1303,100013,156,0.5,312,Nocturne Op.9 No.2,,,1024008,
1401,100014,115,0.5,230,The Ruins of Athens No.4,Beethoven,,1024001,2048001
1402,100014,134,0.5,268,The Ruins of Athens No.4,,,1024002,2048002
1403,100014,146,0.5,292,The Ruins of Athens No.4,,,1024008,
1501,100015,135,0.5,270,Waltz in A minor,Chopin,,1024001,2048001
1502,100015,153,0.5,306,Waltz in A minor,,,1024002,2048002
1503,100015,167,0.5,334,Waltz in A minor,,,1024008,
