Id,MinRound,MaxRound,Difficulty
序号,最小关卡:大于等于,最大关卡:小于等于,难度
1,1,2,1|2|3
2,3,4,1|2|4
3,5,6,2|3|4
4,7,7,2|4|5
5,8,9,2|4|9
6,10,10,3|4|2&3&5
7,12,13,3|5|7
8,14,14,3|6|2&5&9
9,15,16,4|6|8
10,17,17,4|6|9
11,18,19,4|5|4&5&7
12,20,20,4|5|9
13,21,22,4|6|8
14,23,23,4|7|3&6&7
15,24,25,4|6|9
16,26,26,5|7|4&6&8
17,27,29,5|6|9
18,30,30,4|6|3&6&9
19,31,32,4|5|6
20,33,33,5|6|4&5&8
21,34,36,4|5|6
22,37,37,5|6|4&6&9
23,38,40,4|6|7
24,41,43,5|6|9
25,44,44,6|7|5&6&8
26,45,47,4|6|8
27,48,50,5|6|7
28,51,51,4|7|9
29,52,62,6|7|5&7&9
30,63,80,5|6|7
31,81,110,5|6|5&7&8
32,111,150,6|7|8
33,151,200,6|7|9
34,201,250,7|8|5&6&8
35,251,253,7|8|9
36,254,300,7|8|8
37,301,330,7|8|9
38,331,350,7|8|6&7&8
